modele;annee;prix;km
Hyundai i10;2019;34000;115000
Hyundai i10;2022;36500;16800
Hyundai i10;2022;36500;38000
Hyundai i10;2013;25500;190000
Hyundai i10;2021;35000;90000
Hyundai i10;2016;27500;176000
Hyundai i10;2019;34000;131300
Hyundai i10;2023;35000;155000
Hyundai i10;2022;35500;115000
Hyundai i10;2024;40000;28000
Hyundai i10;2024;40000;40000
Hyundai i10;2023;36500;91053
Hyundai i10;2019;34000;102000
Hyundai i10;2024;40000;14000
Hyundai i10;2022;36500;31000
Hyundai i10;2016;27500;306000
Hyundai i10;2021;35500;95000
Hyundai i10;2023;29900;100000
Hyundai i10;2016;32000;259300
Hyundai i10;2023;41000;85000
Hyundai i10;2016;26000;188000
Hyundai i10;2024;45000;6000
Hyundai i10;2022;31500;140000
Hyundai i10;2022;38500;33000
Hyundai i10;2016;30000;215222
Hyundai i10;2015;24500;219000
Hyundai i10;2023;44000;48000
Hyundai i10;2023;31500;140000
Hyundai i10;2016;30000;126000
Hyundai i10;2017;26000;220000
Hyundai i10;2018;34000;190000
Hyundai i10;2015;21000;1900
Hyundai i10;2023;44000;40000
Hyundai i10;2017;28500;99000
Hyundai i10;2022;49000;75000
Hyundai i10;2024;44500;34000
Toyota Yaris;2021;36500;40000
Toyota Yaris;2020;41000;85000
Toyota Yaris;2018;33500;138420
Toyota Yaris;2019;42000;29000
Toyota Yaris;2026;19000;1600
Toyota Yaris;2022;39000;56000
Toyota Yaris;2013;29000;220000
Toyota Yaris;2020;38000;94000
Toyota Yaris;2021;36500;81000
Toyota Yaris;2021;1111;90000
Toyota Yaris;2020;46500;144000
Toyota Yaris;2017;38000;244399
Toyota Yaris;2012;34000;109758
Toyota Yaris;2017;44000;73000
Toyota Yaris;2020;50000;97134
Toyota Yaris;2024;66000;15000
Toyota Yaris;2021;36500;90000
Toyota Yaris;2014;34000;203000
Toyota Yaris;2022;36500;90000
Seat Ibiza;2019;36000;109000
Seat Ibiza;2011;28000;70000
Seat Ibiza;2022;47000;70000
Seat Ibiza;2018;34000;117500
Seat Ibiza;2021;48500;91000
Seat Ibiza;2022;123000;68000
Seat Ibiza;2019;36000;64000
